,Std_CP
0,12.968118654965933
1,11.021869587116436
2,14.131131904022718
3,14.228930865421292
4,14.303963843722201
5,10.915891862632899
6,20.08311828521794
7,20.407305752568554
8,28.290306299142916
9,59.99277072850145
10,18.6755535719336
11,10.964878997443224
12,4.1597511237770854
13,21.322600631318622
14,8.861708924212715
15,20.811817909684926
16,47.31148663566564
17,16.20299795893164
18,74.66111876124053
19,37.22799126105696
20,18.00993128335889
21,16.27438810663071
22,13.38225785263615
23,105.02302826602086
24,21.783005422488586
25,14.553487373554878
26,8.719651554524598
27,8.484871416362664
28,14.963168125473471
29,19.73005580430061
30,11.133206001061373
31,32.30122860464242
32,64.36557759676424
33,13.235392315911817
34,15.522917754396442
35,11.023067694175442
36,26.6617994883469
37,22.735948433233332
38,108.91671371426789
39,13.804740135273436
40,64.44267519108004
41,43.68273700908681
42,135.18290079246958
43,12.233313870491848
44,27.22286137263309
45,10.58823271073879
46,13.021185065277344
47,17.013843196483375
48,11.058059154702857
49,42.913706515477685
50,89.20321759722519
51,78.36015701649835
52,43.10386898637621
53,54.09448217807584
54,22.996072396421326
55,9.653791945382457
56,15.881435391027006
57,20.55333048290213
58,76.60135941900887
59,30.575336784934937
60,98.72150814393369
61,16.620010561574748
62,32.95071311746522
63,11.09848956337011
64,12.62640215162072
65,99.92169285228981
66,11.221443058436181
67,13.484050127581744
68,32.67430988277777
69,29.337962835691513
70,14.40080082898618
71,32.40081323690346
72,21.65369658413029
73,42.497213666861526
74,41.6632580059358
75,15.536001292231534
76,25.38485724686291
77,10.3448240495131
78,13.376337738346868
79,13.285133552929148
80,29.228994290628094
81,9.687290113524506
82,65.6547443414827
83,19.72424609308606
84,15.074834693144771
85,60.251203166353456
86,34.89357970690175
87,22.10049621101547
88,16.918902128957697
89,62.98269292308113
90,25.19598074243776
91,11.266928514946724
92,59.275182303192025
93,22.10064484746535
94,16.505709967719095
95,10.013116398005169
96,26.281249620835258
97,25.17207785228229
98,
99,30.663118867038467
100,14.750829011338286
101,7.344483742336243
102,14.750473571659835
103,33.737483649944956
104,29.20181764627253
105,19.90355533947428
106,26.814740405797387
107,19.758215930953725
108,42.824162857070824
109,14.850802867557421
110,16.321631375654203
111,8.825201135621503
112,26.024145665813275
113,22.341544606061046
114,44.64612281095953
115,30.828336052651963
116,23.112714271058895
117,25.674364412271203
118,29.114803380729196
119,18.57777073874502
120,9.244131557586593
121,61.04328621730478
122,
