,Std_CP
0,19.93428518658535
1,44.16006239931179
2,73.98222365203004
3,32.26839726986129
4,180.2269778162069
5,73.71566997592845
6,38.67650830119356
7,10.451702982676807
8,38.67169507533902
9,37.71172027571596
10,17.913726226042062
11,30.986537677536344
12,20.088579352661135
13,34.65662465753209
14,18.020674487785104
15,11.738824472663351
16,29.567334555676013
17,13.221195104830727
18,16.84849532960718
19,26.502732317555164
20,69.09415714096532
21,40.01663115794194
22,28.445167675768122
23,92.12736185961721
24,51.44005722371901
25,97.1142952620209
26,92.8913886126559
27,48.95229013566773
28,106.18965737459243
29,68.55358573880041
30,32.230797001661614
31,58.12636140395705
32,86.46870496002279
33,60.66553597078859
34,44.665040235166494
35,90.7681951358897
36,42.090299087924336
37,30.383602677897017
38,50.55739881276176
39,21.058866590321653
40,45.1750226282391
41,81.64936991700021
42,44.263905853232416
43,12.567721314845386
44,83.57876607278219
45,56.066054634417604
46,48.83445861096534
47,28.928387541627387
48,54.307302798563875
49,14.084162607824307
50,52.601310800187285
51,56.2657299405905
52,9.92871141411752
53,53.42637058519403
54,116.11402289153851
55,28.945178067051742
56,58.61732970710404
57,58.1012379055201
58,54.77301647100816
59,56.018852433417344
60,66.55649179154193
61,14.939591622579995
62,74.8856619884331
63,36.6285434610555
64,16.981782956478757
65,50.674112370686494
66,23.27158143451051
67,71.73051683526717
68,16.032604200908914
69,25.409125445673617
70,15.346001172426874
71,65.07665730632509
72,71.12682785718509
73,27.678847105237217
74,38.41948382772278
75,103.3639809320082
76,10.741351096422813
77,16.96100322068541
78,77.54801552289047
79,21.061709053049185
80,30.204678125170627
81,17.22263184356699
82,15.358900785320978
83,11.613471801004524
84,18.313387418229286
85,39.68591023866622
86,40.26444120095578
87,8.404716609494315
88,25.405157760114903
89,90.94084127619371
90,104.32847824323433
91,52.699036099316864
92,82.0187774349886
93,33.27890886505946
94,52.00157340276961
95,28.2720098929222
96,104.53062523922465
97,30.118083018863985
98,52.375750036817536
99,35.99070392796964
100,31.400636936215164
101,68.65811366619192
102,16.46653653312758
103,20.238236259529923
104,61.41683216128355
105,110.285131184706
106,45.93363356855691
107,29.19321569071369
108,30.938167879321096
109,94.60525987323068
110,127.17417629431995
111,20.482916236460504
112,24.603752412352897
113,39.203408162281775
114,79.65406853965864
115,55.43241717229384
116,31.921470761330884
117,44.576731928198406
118,36.74824482253467
119,8.89126230939935
120,17.98236841382391
121,25.22811033391935
122,15.723392484609397
123,50.26894460777896
124,127.05536850785434
125,49.774471606591824
126,27.745269867132308
127,178.98194255981002
128,64.2455395785753
129,40.723173917800096
130,48.27251979482147
131,30.753233074553567
132,16.45954636879968
133,66.67934979200137
134,25.3014242477675
135,74.60279581126396
136,43.39716002024709
137,42.08468736231824
138,76.19165273669148
139,34.276980707510305
140,90.0986330277512
141,93.92327544166818
142,45.692172512147984
143,83.75047232235143
144,20.699345110152734
