,Age,Time,Mean_CP,Std_CP,Elo,OppElo,WL,WhiteWL,Name
49,39,34,35.42372881355932,68.54402144251091,0,2703,-1.0,0,VallejoPons
50,39,34,21.59375,15.96136338060574,0,2701,-1.0,0,VallejoPons
51,39,34,9.454545454545457,11.087974649059309,0,2703,-1.0,0,VallejoPons
52,39,34,27.575,41.83415823070658,0,2703,-1.0,-1,VallejoPons
53,39,34,18.83333333333333,17.70379175273598,0,2718,-1.0,0,VallejoPons
54,39,34,27.55128205128205,49.28176276465911,0,2703,-1.0,1,VallejoPons
55,39,34,18.80263157894737,45.78908741518862,0,2681,-1.0,0,VallejoPons
56,39,34,20.5,24.494545487122014,0,2703,-1.0,0,VallejoPons
57,39,34,12.885714285714286,14.154133523402956,0,2709,-1.0,0,VallejoPons
58,39,34,9.548387096774194,11.789370098178614,0,2704,-1.0,-1,VallejoPons
59,39,34,16.523809523809526,12.956153162181463,0,2704,-1.0,0,VallejoPons
60,39,34,10.5,15.990324455447306,0,2704,-1.0,0,VallejoPons
61,39,34,30.902439024390244,50.150787386233525,0,2694,-1.0,1,VallejoPons
62,39,34,19.35135135135135,29.30037562919649,0,2600,-1.0,1,VallejoPons
63,39,34,47.24444444444445,78.1621727725455,0,2702,-1.0,-1,VallejoPons
64,39,34,31.105263157894736,31.98461578987894,0,2434,-1.0,1,VallejoPons
65,39,34,12.767441860465116,16.360284677495137,0,2702,-1.0,0,VallejoPons
66,39,34,6.766666666666667,10.555872146895734,0,2623,-1.0,0,VallejoPons
67,39,34,23.613636363636363,30.575271897165912,0,2680,-1.0,1,VallejoPons
68,39,34,17.833333333333332,23.29878394537649,0,2587,-1.0,0,VallejoPons
69,39,34,11.976190476190476,13.498849264845838,0,2702,-1.0,0,VallejoPons
70,39,34,16.88372093023256,25.114224106901936,0,2634,-1.0,0,VallejoPons
