,Age,Time,Mean_CP,Std_CP,Elo,OppElo Elo,WL,WhiteWL
62,15.0,8.0,34.39473684210526,47.95241981532416,2578.0,2393.0,-1.0,1.0
63,15.0,8.0,26.17391304347826,58.88072602896647,2578.0,2296.0,0.0,0.0
64,15.0,8.0,20.37142857142857,41.585550173026185,2578.0,2349.0,1.0,-1.0
65,15.0,8.0,32.95918367346939,101.33236550737249,2578.0,2407.0,1.0,1.0
66,15.0,8.0,39.125,61.94690047339632,2578.0,2503.0,0.0,0.0
67,15.0,8.0,26.382978723404257,43.45590128108853,2578.0,2527.0,1.0,-1.0
68,15.0,8.0,14.833333333333334,29.278421895665176,2578.0,2625.0,1.0,-1.0
69,15.0,8.0,12.8,15.57486663147506,2578.0,2606.0,0.0,0.0
70,15.0,8.0,51.56410256410256,86.34380326157412,2578.0,2140.0,0.0,0.0
71,15.0,8.0,12.0,16.057930839841813,2578.0,2323.0,1.0,-1.0
72,15.0,8.0,27.923076923076923,28.20636790307113,2578.0,2471.0,1.0,1.0
73,15.0,8.0,29.169014084507044,66.61273707364572,2578.0,2255.0,1.0,-1.0
74,15.0,8.0,30.666666666666668,59.75995341798991,2578.0,2610.0,0.0,0.0
75,15.0,8.0,20.040816326530614,41.10604131576113,2578.0,2644.0,-1.0,1.0
76,15.0,8.0,13.212121212121213,17.733720661069647,2578.0,2443.0,1.0,1.0
77,15.0,8.0,23.365853658536587,29.1871171046071,2578.0,2533.0,-1.0,1.0
78,15.0,8.0,39.91836734693877,52.02957361551452,2578.0,1980.0,1.0,-1.0
79,15.0,8.0,45.31578947368421,74.29455811549123,2578.0,2245.0,1.0,1.0
80,15.0,8.0,66.08571428571429,103.75632409600856,2578.0,2382.0,1.0,-1.0
81,15.0,8.0,33.175,56.5884320424735,2578.0,2466.0,1.0,1.0
82,15.0,8.0,17.035714285714285,18.915958660969103,2578.0,2458.0,1.0,-1.0
83,15.0,8.0,24.956521739130437,50.54653864677542,2578.0,2562.0,1.0,1.0
84,15.0,8.0,15.285714285714286,31.21400784446441,2578.0,2597.0,-1.0,1.0
85,15.0,8.0,19.89583333333333,25.658344072978984,2578.0,2444.0,1.0,1.0
86,15.0,8.0,19.23684210526316,31.09395892532938,2578.0,2429.0,1.0,-1.0
87,15.0,8.0,31.163265306122447,43.799423007413154,2599.0,1653.0,1.0,-1.0
88,15.0,8.0,21.40625,33.83056393930809,2599.0,1905.0,1.0,1.0
89,15.0,8.0,21.5,36.32803896571269,2599.0,2093.0,1.0,-1.0
90,15.0,8.0,20.08823529411765,24.26416193416128,2599.0,2310.0,1.0,1.0
91,15.0,8.0,25.105263157894736,32.92778039595914,2599.0,2528.0,0.0,0.0
92,15.0,8.0,36.36206896551724,51.91649782604249,2599.0,2279.0,0.0,0.0
93,15.0,8.0,16.81081081081081,25.88954941223908,2578.0,1831.0,1.0,-1.0
94,15.0,8.0,16.125,27.446614848951167,2578.0,2246.0,1.0,1.0
95,15.0,8.0,21.40909090909091,40.17827608200452,2578.0,2357.0,1.0,-1.0
96,15.0,8.0,12.69047619047619,19.989616933137203,2578.0,2394.0,1.0,1.0
97,15.0,8.0,17.03125,30.334143835916397,2578.0,2437.0,1.0,-1.0
98,15.0,8.0,18.069767441860463,18.12968540272478,2578.0,2562.0,0.0,0.0
99,15.0,8.0,29.34090909090909,95.4014633942215,2578.0,2597.0,-1.0,1.0
100,15.0,8.0,25.133333333333333,29.054494254136245,2578.0,2422.0,0.0,0.0
101,15.0,8.0,9.166666666666666,19.020964787551527,2578.0,2412.0,0.0,0.0
102,15.0,8.0,33.65217391304348,52.51971794428128,2599.0,2447.0,1.0,1.0
103,15.0,8.0,28.703703703703702,32.34883759035699,2599.0,2132.0,1.0,-1.0
104,15.0,8.0,13.375,11.355686368653627,2599.0,2263.0,1.0,1.0
105,15.0,8.0,21.132075471698112,32.174427097791785,2599.0,2206.0,1.0,-1.0
106,15.0,8.0,54.888888888888886,185.1335740798312,2599.0,2369.0,1.0,1.0
107,15.0,8.0,20.142857142857142,34.15740873410294,2599.0,2551.0,0.0,0.0
108,15.0,8.0,19.4375,40.3915812850856,2599.0,2621.0,1.0,1.0
109,15.0,8.0,21.847826086956523,37.60494494156282,2599.0,2562.0,1.0,-1.0
110,15.0,8.0,17.641025641025642,24.240556684904373,2599.0,2478.0,1.0,1.0
111,15.0,8.0,12.095238095238097,19.03707273319215,2599.0,2522.0,0.0,0.0
112,15.0,8.0,15.971428571428572,26.93836725289973,2599.0,2405.0,1.0,1.0
113,15.0,8.0,30.818181818181817,74.38062786282796,2599.0,2163.0,1.0,-1.0
114,15.0,8.0,18.916666666666668,49.87637198383122,2599.0,2594.0,0.0,0.0
115,15.0,8.0,29.857142857142858,67.4707530787111,2599.0,2440.0,1.0,1.0
116,15.0,8.0,33.825,78.35536946534444,2599.0,2609.0,1.0,-1.0
117,15.0,8.0,15.142857142857142,16.772852215069786,2599.0,2701.0,0.0,0.0
118,15.0,8.0,35.794117647058826,73.31368031905869,2599.0,2578.0,0.0,0.0
119,15.0,8.0,16.10810810810811,19.111927316881616,2599.0,2629.0,1.0,1.0
120,15.0,8.0,13.3,14.78772880049276,2599.0,2498.0,1.0,-1.0
121,15.0,8.0,21.466666666666665,28.991952906510686,2599.0,2641.0,0.0,0.0
122,15.0,8.0,15.41509433962264,27.91500421076599,2599.0,2223.0,0.0,0.0
123,15.0,8.0,21.55555555555556,45.17676042546303,2640.0,2323.0,1.0,1.0
124,15.0,8.0,11.529411764705882,14.09972123970659,2599.0,2535.0,1.0,1.0
125,15.0,8.0,11.083333333333334,17.589761724199796,2599.0,2460.0,1.0,-1.0
126,15.0,8.0,26.24242424242424,25.681985786527367,2599.0,2435.0,0.0,0.0
127,15.0,8.0,31.52857142857143,92.26108533664028,2599.0,2626.0,-1.0,1.0
128,15.0,8.0,11.936170212765957,17.12156567317465,2599.0,2319.0,1.0,1.0
129,15.0,8.0,12.85,28.87155462850359,2599.0,2578.0,0.0,0.0
130,15.0,8.0,42.5,63.93227718119988,2599.0,2522.0,1.0,1.0
131,15.0,8.0,19.55263157894737,19.88846924989052,2640.0,2435.0,0.0,0.0
132,15.0,8.0,21.928571428571427,27.58948883505989,2640.0,2356.0,1.0,1.0
133,15.0,8.0,29.804878048780488,57.68761544395606,2640.0,2557.0,-1.0,1.0
134,15.0,8.0,27.4875,71.9883945903519,2640.0,2479.0,1.0,1.0
135,15.0,8.0,22.742857142857144,41.09927384466796,2640.0,2453.0,0.0,0.0
136,15.0,8.0,26.5,44.8515281174241,2640.0,2253.0,1.0,1.0
137,15.0,8.0,35.40425531914894,45.13008231019194,2640.0,2419.0,1.0,-1.0
138,15.0,8.0,10.307692307692308,14.90699914408602,2640.0,2438.0,1.0,1.0
139,15.0,8.0,33.853658536585364,38.290051564087605,2640.0,2487.0,-1.0,1.0
140,15.0,8.0,18.69767441860465,33.45610833523665,2640.0,2432.0,1.0,1.0
141,15.0,8.0,25.94736842105263,34.960396498155895,2640.0,2432.0,0.0,0.0
142,15.0,8.0,29.52083333333333,42.88380618990498,2640.0,2419.0,0.0,0.0
143,15.0,8.0,11.194444444444445,18.79942163919555,2640.0,2484.0,1.0,1.0
144,15.0,8.0,16.904761904761905,41.34613529219464,2640.0,2701.0,0.0,0.0
145,15.0,8.0,25.27906976744186,44.34406900879666,2640.0,2699.0,0.0,0.0
146,15.0,8.0,14.083333333333334,24.771013450091885,2640.0,2704.0,0.0,0.0
147,15.0,8.0,11.638297872340424,21.90237780610856,2640.0,2691.0,-1.0,1.0
148,15.0,8.0,10.275862068965518,12.11815801574568,2640.0,2609.0,-1.0,-1.0
149,15.0,8.0,32.2,49.41469179005251,2640.0,2619.0,0.0,0.0
150,15.0,8.0,34.7,118.17353601963772,2640.0,2621.0,-1.0,-1.0
151,15.0,8.0,36.94827586206897,68.68729610414144,2640.0,2577.0,0.0,0.0
152,15.0,8.0,19.359375,40.971289671927,2640.0,2577.0,1.0,-1.0
153,15.0,8.0,43.19444444444444,98.60710476994602,2640.0,2618.0,0.0,0.0
154,15.0,8.0,26.54736842105263,48.16080520396991,2614.0,2004.0,1.0,1.0
155,15.0,8.0,19.13888888888889,40.88041988726058,2614.0,2269.0,1.0,-1.0
156,15.0,8.0,9.787878787878787,14.719794444381638,2614.0,2408.0,1.0,1.0
157,15.0,8.0,21.0,40.50998424499091,2614.0,2321.0,1.0,-1.0
158,15.0,8.0,17.46808510638298,26.188157847982755,2614.0,2633.0,0.0,0.0
159,15.0,8.0,20.244444444444444,38.976773710620144,2614.0,2466.0,1.0,-1.0
160,15.0,8.0,20.675,35.21682836372407,2614.0,2611.0,0.0,0.0
161,15.0,8.0,12.28888888888889,22.418156422278283,2614.0,2563.0,0.0,0.0
162,15.0,8.0,16.557377049180328,23.638615716777167,2614.0,2516.0,0.0,0.0
163,15.0,8.0,37.14705882352941,87.53272559975419,2614.0,2628.0,1.0,-1.0
164,15.0,8.0,15.166666666666666,26.14822909983525,2614.0,2585.0,0.0,0.0
165,15.0,8.0,37.5,87.68468038718721,2614.0,2064.0,1.0,1.0
166,15.0,8.0,22.125,29.04703356162482,2614.0,2328.0,1.0,-1.0
167,15.0,8.0,13.344827586206897,22.919542288606287,2614.0,1971.0,1.0,1.0
168,15.0,8.0,8.333333333333334,11.391726320950154,2614.0,2205.0,1.0,-1.0
169,15.0,8.0,23.175,74.88791196831676,2614.0,2553.0,0.0,0.0
170,15.0,8.0,29.52777777777778,42.23234110158512,2614.0,2508.0,0.0,0.0
171,15.0,8.0,13.454545454545457,13.874641682514968,2614.0,2042.0,1.0,1.0
172,15.0,8.0,15.666666666666666,18.874018422915974,2614.0,2487.0,1.0,-1.0
173,15.0,8.0,48.02564102564103,64.68201050625207,2614.0,2410.0,1.0,1.0
174,15.0,8.0,17.032258064516128,30.50517319075323,2614.0,2106.0,1.0,1.0
175,15.0,8.0,28.647058823529413,48.03074995434144,2614.0,2618.0,-1.0,1.0
176,15.0,8.0,15.148148148148149,25.39640147692598,2614.0,2100.0,1.0,1.0
177,15.0,8.0,53.27906976744186,100.38244145016108,2614.0,2340.0,-1.0,1.0
178,15.0,8.0,35.72549019607843,66.08965983612643,2614.0,2141.0,1.0,1.0
179,15.0,8.0,10.076923076923077,21.380220909846702,2614.0,2400.0,1.0,-1.0
180,15.0,8.0,39.03174603174603,47.21193406195031,2614.0,2469.0,1.0,1.0
181,15.0,8.0,10.291666666666666,18.11192056814148,2614.0,2485.0,1.0,-1.0
182,15.0,8.0,11.23076923076923,14.486704780060077,2614.0,2660.0,0.0,0.0
183,15.0,8.0,21.627906976744185,41.44647911740194,2614.0,2628.0,1.0,-1.0
184,15.0,8.0,18.724137931034484,32.38705269495836,2637.0,2233.0,1.0,-1.0
185,15.0,8.0,14.023255813953488,20.0837394214147,2637.0,2378.0,1.0,1.0
186,15.0,8.0,14.482758620689657,18.78618508775105,2637.0,2569.0,0.0,0.0
187,15.0,8.0,22.78333333333333,29.54117589816505,2637.0,2524.0,1.0,1.0
188,15.0,8.0,30.857142857142858,58.34135999198413,2637.0,2573.0,0.0,0.0
189,15.0,8.0,16.823529411764707,17.654033084127615,2637.0,2538.0,0.0,0.0
190,15.0,8.0,22.288888888888888,37.85836176534261,2637.0,2487.0,0.0,0.0
191,15.0,8.0,15.136363636363637,18.3128772141756,2637.0,2465.0,1.0,1.0
192,15.0,8.0,13.875,20.883316384755712,2637.0,2624.0,-1.0,-1.0
193,15.0,8.0,41.345454545454544,84.9462178831991,2637.0,1848.0,1.0,1.0
194,15.0,8.0,19.822222222222223,33.01878865192368,2637.0,2086.0,1.0,-1.0
195,15.0,8.0,58.810810810810814,172.4768644449706,2637.0,2283.0,1.0,1.0
196,15.0,8.0,16.576923076923077,34.45132575321081,2637.0,2419.0,1.0,-1.0
197,15.0,8.0,19.725,27.3120500314985,2637.0,2633.0,0.0,0.0
198,15.0,8.0,47.51515151515152,122.08171474777691,2637.0,2624.0,0.0,0.0
199,15.0,8.0,13.0,19.822900101172195,2637.0,2264.0,1.0,1.0
200,15.0,8.0,9.73076923076923,10.105672436043797,2637.0,2349.0,1.0,-1.0
201,15.0,8.0,27.325,33.40841863808337,2637.0,2554.0,1.0,1.0
202,15.0,8.0,29.444444444444443,36.182585413144366,2640.0,2453.0,1.0,-1.0
203,15.0,8.0,17.36842105263158,17.79890922474305,2640.0,2568.0,-1.0,-1.0
204,15.0,8.0,20.6,20.424658299875343,2640.0,2483.0,0.0,0.0
205,15.0,8.0,25.10204081632653,40.41928422690048,2640.0,2471.0,0.0,0.0
206,15.0,8.0,35.4375,48.14203553139795,2637.0,2086.0,1.0,1.0
207,15.0,8.0,34.80769230769231,40.12582134313936,2637.0,2332.0,1.0,-1.0
208,15.0,8.0,17.066666666666666,24.82481146691382,2637.0,2463.0,1.0,1.0
209,15.0,8.0,25.39130434782609,44.82363330617898,2637.0,2583.0,1.0,-1.0
210,15.0,8.0,17.0,37.17167380322459,2637.0,2592.0,0.0,0.0
211,15.0,8.0,34.81818181818182,78.51359613476309,2637.0,2639.0,0.0,0.0
212,15.0,8.0,15.591549295774648,37.85595913262675,2637.0,2633.0,1.0,1.0
213,15.0,8.0,13.976190476190476,21.772087854034798,2637.0,2226.0,1.0,-1.0
214,15.0,8.0,13.363636363636363,10.837644829691802,2637.0,2355.0,1.0,1.0
215,15.0,8.0,20.903846153846157,28.867010559504305,2637.0,2558.0,1.0,-1.0
216,15.0,8.0,32.25714285714286,78.26626606247,2637.0,2656.0,0.0,0.0
217,15.0,8.0,17.41025641025641,25.54842455614327,2637.0,2463.0,1.0,-1.0
218,15.0,8.0,14.521739130434783,24.688944111740724,2637.0,2597.0,0.0,0.0
219,15.0,8.0,11.275862068965518,14.51082490449344,2637.0,2639.0,0.0,0.0
220,15.0,8.0,21.0,25.912809268979817,2637.0,2373.0,1.0,1.0
221,15.0,8.0,42.85714285714285,51.30137120809431,2637.0,2650.0,1.0,-1.0
222,15.0,8.0,14.732142857142858,22.128131886339183,2637.0,2633.0,0.0,0.0
223,15.0,8.0,20.895522388059703,26.168529751290745,2659.0,2575.0,1.0,1.0
224,15.0,8.0,21.425531914893615,24.751587284060815,2659.0,2609.0,-1.0,1.0
225,15.0,8.0,16.333333333333332,18.70286345587957,2659.0,2537.0,1.0,1.0
226,15.0,8.0,25.936507936507937,51.101692736268845,2659.0,2621.0,0.0,0.0
227,15.0,8.0,49.29032258064516,77.45673783835169,2659.0,2613.0,0.0,0.0
228,15.0,8.0,16.95,21.2812618343734,2659.0,2607.0,1.0,-1.0
229,16.0,9.0,20.657894736842103,20.86543283375573,2659.0,2631.0,0.0,0.0
230,16.0,9.0,11.46031746031746,17.978325119185662,2659.0,2635.0,0.0,0.0
