"Age","Elo","OppElo","Mean_CP","Std_CP","Time","WL","WhiteWL","Name"
18,2627,2323,12.6969696969697,18.8853197756962,11,"1/2","1/2","erigaisi"
18,2627,2448,35,46.2846266774041,11,"1/2","1/2","erigaisi"
18,2627,2502,25.1025641025641,29.5169842916483,11,"1","0","erigaisi"
18,2627,2491,29.3134328358209,52.0597584818505,11,"1","1","erigaisi"
18,2627,2515,16.8214285714286,17.0316776134367,11,"1/2","1/2","erigaisi"
18,2627,2510,10.6734693877551,15.5032090160688,11,"1","1","erigaisi"
18,2627,2459,28.5584415584416,57.8199322548925,11,"1/2","1/2","erigaisi"
18,2627,2557,29.134328358209,120.061587165919,11,"1","1","erigaisi"
18,2627,2501,13.8809523809524,20.5606804254784,11,"1/2","1/2","erigaisi"
18,2629,2207,27.6829268292683,35.508758795817,11,"1/2","1/2","erigaisi"
18,2629,2353,15.75,18.0200911265877,11,"1/2","1/2","erigaisi"
18,2629,2355,8.76744186046512,16.3783748519411,11,"1","0","erigaisi"
18,2629,2409,21,36.2995666170461,11,"1/2","1/2","erigaisi"
18,2629,2427,23.6666666666667,37.73110604841,11,"1","0","erigaisi"
18,2629,2530,13.9230769230769,21.6516476544822,11,"1/2","1/2","erigaisi"
18,2629,2467,11.1578947368421,15.188057747809,11,"1","0","erigaisi"
18,2629,2503,18.2051282051282,33.2638411928656,11,"1/2","1/2","erigaisi"
18,2629,2604,28.8125,54.197629694629,11,"1","0","erigaisi"
18,2629,2484,83.6060606060606,157.195129416026,11,"1","1","erigaisi"
18,2632,2539,16.5,27.7612454149296,11,"0","1","erigaisi"
18,2632,2607,19.5263157894737,31.0115382556019,11,"1","1","erigaisi"
18,2632,2532,18.08,16.532594069494,11,"1/2","1/2","erigaisi"
18,2632,2452,15.0731707317073,17.2994078567771,11,"1","0","erigaisi"
18,2632,2519,21.4666666666667,25.4960894003893,11,"1","1","erigaisi"
18,2632,2627,28.1714285714286,64.4105877129204,11,"1","0","erigaisi"
18,2632,2631,15.3658536585366,16.1008634823741,11,"1","1","erigaisi"
18,2632,2586,21.8313253012048,26.5044033511914,11,"1","1","erigaisi"
18,2632,2478,14.4827586206897,12.2375904772817,11,"1/2","1/2","erigaisi"
18,2632,2516,15.9423076923077,27.9287703663799,11,"1","1","erigaisi"
18,2632,2622,17.1,26.6359233703865,11,"1","0","erigaisi"
18,2632,2613,9.95652173913044,12.7546008129315,11,"1/2","1/2","erigaisi"
18,2632,2502,12.7142857142857,10.4912312940824,11,"1/2","1/2","erigaisi"
18,2633,2029,21.8870967741935,36.0905531614393,11,"1/2","1/2","erigaisi"
18,2633,2302,17.5576923076923,35.4972594697711,11,"1","0","erigaisi"
18,2633,2459,40.05,96.3809083126917,11,"1","0","erigaisi"
18,2633,2469,40.3934426229508,120.752264117976,11,"1","1","erigaisi"
18,2633,2614,37.9285714285714,70.1487593051777,11,"1","0","erigaisi"
18,2633,2628,11.8913043478261,18.103686869278,11,"1","1","erigaisi"
18,2633,2585,17.0666666666667,49.5013314788786,11,"1/2","1/2","erigaisi"
18,2633,2522,7.15094339622642,10.2495707722795,11,"1","1","erigaisi"
18,2633,2486,14.8064516129032,22.875633841621,11,"1/2","1/2","erigaisi"
18,2633,2516,46.6166666666667,87.9169661547366,11,"1/2","1/2","erigaisi"
18,2633,2619,31.6,32.4312290144024,11,"1","0","erigaisi"
18,2660,2499,11.7142857142857,22.218741500535,11,"1/2","1/2","erigaisi"
18,2660,2419,37.765625,58.5653188959213,11,"1/2","1/2","erigaisi"
18,2660,2167,44.9333333333333,63.1833311351446,11,"0","1","erigaisi"
18,2660,2536,13.6818181818182,15.7884417145864,11,"1","1","erigaisi"
18,2660,1848,13.5454545454545,19.0878684782874,11,"1","0","erigaisi"
18,2660,2436,34.3787878787879,74.0379871628311,11,"1","1","erigaisi"
18,2660,2087,29.3809523809524,30.1371468299111,11,"1/2","1/2","erigaisi"
18,2660,2584,18.8913043478261,24.210400208606,11,"1","1","erigaisi"
18,2660,2528,3.48,9.06513467449142,11,"1/2","1/2","erigaisi"
18,2660,2235,17.9756097560976,34.2983146851839,11,"1","1","erigaisi"
18,2660,2127,38.2571428571429,56.951652796934,11,"1/2","1/2","erigaisi"
18,2660,2397,19.9487179487179,22.6110693873467,11,"1","0","erigaisi"
18,2660,2445,39.5081967213115,51.4964797990502,11,"1","1","erigaisi"
18,2660,1452,13.3333333333333,17.2914113883575,11,"1","0","erigaisi"
18,2660,2516,26.8958333333333,68.6279639001334,11,"1","1","erigaisi"
18,2660,2499,12.35,16.25052267404,11,"1","0","erigaisi"
18,2660,2442,15.1764705882353,18.4102583199748,11,"1","1","erigaisi"
18,2660,2558,28.6333333333333,51.8794912195118,11,"1/2","1/2","erigaisi"
18,2660,2614,13.7777777777778,20.1748764810504,11,"1/2","1/2","erigaisi"
