,WinLoss
0,0
1,1/2
2,1/2
3,1/2
4,1
5,1
6,1
7,1
8,1/2
9,1/2
10,0
11,1/2
12,0
13,1
14,1/2
15,1
16,1
17,1/2
18,1/2
19,1/2
20,1
21,1/2
22,0
23,1/2
24,1
25,1/2
26,1/2
27,1/2
28,1
29,1/2
30,1/2
31,1
32,0
33,1/2
34,1/2
35,1/2
36,1/2
37,1/2
38,1/2
39,1/2
40,1
41,1/2
42,1
43,0
44,1/2
45,0
46,1/2
47,0
48,1/2
49,1
50,1/2
51,1/2
52,0
53,1/2
54,1/2
55,0
56,1/2
57,1/2
58,1
59,1/2
60,1
61,0
62,1/2
63,1/2
64,1/2
65,0
66,1/2
67,1/2
68,1/2
69,1
70,1
71,1/2
72,1/2
73,1/2
74,1/2
75,1/2
76,0
77,1/2
