,WinLoss
0,1/2
1,1/2
2,1/2
3,1/2
4,1/2
5,1/2
6,1/2
7,1
8,0
9,1
10,1/2
11,1/2
12,1/2
13,0
14,1/2
15,1
16,1/2
17,0
18,1
19,1
20,1
21,0
22,1/2
23,1
24,0
25,0
26,1
27,1/2
28,1/2
29,1/2
30,1/2
31,1/2
32,1/2
33,1
34,1
35,1/2
36,1/2
37,1/2
38,1
39,0
40,1
41,1
42,0
43,1/2
44,1/2
45,1/2
46,1
47,1/2
48,1/2
49,1
50,1
51,0
52,1
53,1/2
54,1/2
55,0
56,1
57,1/2
58,1/2
59,0
60,1/2
61,0
62,1
63,1/2
64,1/2
65,1
66,1/2
67,1/2
68,1/2
69,1
70,1/2
71,1
72,1
73,0
74,1
75,1
76,1/2
77,0
78,0
79,1
80,1/2
81,0
82,1/2
83,1/2
84,1/2
85,1/2
86,1/2
87,1
88,1/2
89,1
90,0
91,1/2
92,0
93,1
94,1/2
95,1
96,1
97,0
98,1/2
99,1
100,1/2
101,1
102,1
103,1/2
104,1
105,1/2
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,1
116,0
117,1/2
118,1
119,1/2
120,0
121,1
122,1
123,1/2
124,0
125,1
126,1
127,1/2
128,1
129,1/2
130,1/2
131,1/2
132,1
133,0
134,1/2
135,1
136,1/2
137,0
138,1/2
139,1/2
140,0
141,0
142,1
143,0
144,1/2
145,1
146,0
147,1
148,1
149,0
150,0
151,1/2
152,1
153,1
154,0
155,1
156,1/2
157,1/2
158,0
159,1/2
160,1
161,1
162,1/2
163,1/2
164,0
165,1
166,1/2
167,1
168,1/2
169,1
170,0
171,0
172,1
173,1
174,1/2
175,1
176,1/2
177,1/2
178,1
179,1
180,1
181,1
182,1/2
183,1
184,1
185,1/2
186,1/2
187,1
188,1/2
189,1/2
190,1/2
191,0
192,1/2
193,1/2
194,1
195,1/2
196,1/2
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,0
205,1
206,0
207,1
208,0
209,1/2
210,1/2
211,1/2
212,1/2
213,1
214,1/2
215,0
216,1
217,1
218,1/2
219,1
220,0
221,0
222,1
223,1/2
224,0
225,1/2
226,1/2
227,1
228,1/2
229,0
230,0
231,0
232,1
233,0
234,1/2
235,1/2
236,0
237,1/2
238,1
239,1/2
240,1/2
241,0
242,1
243,1
244,0
245,1
246,0
247,1
248,1/2
249,1
250,1
251,1/2
252,1/2
253,1
254,1/2
255,1
256,0
257,1/2
258,1
