,Elo,OppElo
0,0,2758
1,0,2534
2,0,2758
3,0,2534
4,0,2710
5,0,2758
6,0,2763
7,0,2772
8,0,2758
9,0,2782
10,0,2758
11,0,2714
12,0,2758
13,0,2772
14,0,2758
15,0,2806
16,0,2782
17,0,2758
18,0,2763
19,0,2758
20,0,2710
21,0,2758
22,0,2758
23,0,2714
24,0,2758
25,0,2758
26,0,2709
27,0,2758
28,0,2736
29,0,2758
30,0,2709
31,0,2758
32,0,2806
33,0,2758
34,0,2751
35,0,2758
36,0,2714
37,0,2758
38,0,2709
39,0,2758
40,0,2760
41,0,2800
42,0,2760
43,0,2760
44,0,2554
45,0,2760
46,0,2623
47,0,2760
48,0,2669
49,0,2760
50,0,2647
51,0,2752
52,0,2752
53,0,2717
54,0,2772
55,0,2752
56,0,2704
57,0,2752
58,0,2772
59,0,2772
60,0,2752
61,0,2756
62,0,2655
63,0,2756
64,0,2711
65,0,2776
66,0,2756
67,0,2709
68,0,2756
69,0,2709
70,0,2756
71,0,2756
72,0,2785
73,0,2756
74,0,2781
75,0,2785
76,0,2756
77,0,2785
78,0,2756
79,0,2488
80,0,2756
81,0,2592
82,0,2756
83,0,2693
84,0,2756
85,0,2756
86,0,2681
87,0,2753
88,0,2786
89,0,2753
90,0,2765
91,0,2753
92,0,2671
93,0,2753
94,0,2753
95,0,2776
96,0,2773
97,0,2754
98,0,2680
99,0,2754
100,0,2728
101,0,2754
102,0,2793
103,0,2754
104,0,2760
105,0,2754
106,0,2759
107,0,2754
108,0,2864
109,0,2754
110,0,2728
111,0,2754
112,0,2754
113,0,2760
114,0,2766
115,0,2754
116,0,2793
117,0,2754
118,0,2678
119,0,2754
120,0,2773
121,0,2680
122,0,2754
123,0,2754
124,0,2451
125,0,2754
126,0,2596
127,0,2754
128,0,2754
129,0,2754
130,0,2598
131,0,2574
132,0,2754
