,WElo,BElo,Elo
245,2638.0,,2638.0
246,,2638.0,2638.0
247,2638.0,,2638.0
248,,2638.0,2638.0
249,,2638.0,2638.0
250,2638.0,,2638.0
251,,2638.0,2638.0
252,2635.0,,2635.0
253,,2635.0,2635.0
254,2635.0,,2635.0
255,2635.0,,2635.0
256,,2635.0,2635.0
257,,2635.0,2635.0
258,2635.0,,2635.0
259,2635.0,,2635.0
260,,2635.0,2635.0
261,,2635.0,2635.0
262,2645.0,,2645.0
263,,2645.0,2645.0
264,2645.0,,2645.0
265,,2645.0,2645.0
266,,2645.0,2645.0
267,2645.0,,2645.0
268,2645.0,,2645.0
269,,2645.0,2645.0
270,2645.0,,2645.0
271,,2645.0,2645.0
272,2645.0,,2645.0
273,,2645.0,2645.0
274,2645.0,,2645.0
275,,2645.0,2645.0
276,2645.0,,2645.0
277,2645.0,,2645.0
278,,2645.0,2645.0
279,2645.0,,2645.0
280,2642.0,,2642.0
281,,2642.0,2642.0
282,2642.0,,2642.0
283,2642.0,,2642.0
284,,2642.0,2642.0
285,2642.0,,2642.0
286,,2642.0,2642.0
287,2642.0,,2642.0
288,,2642.0,2642.0
289,2637.0,,2637.0
290,,2637.0,2637.0
291,2637.0,,2637.0
292,,2637.0,2637.0
293,2637.0,,2637.0
294,,2637.0,2637.0
295,2637.0,,2637.0
296,,2637.0,2637.0
297,2637.0,,2637.0
298,2637.0,,2637.0
299,,2637.0,2637.0
300,2637.0,,2637.0
301,,2637.0,2637.0
302,2637.0,,2637.0
303,,2637.0,2637.0
304,2637.0,,2637.0
305,,2637.0,2637.0
306,2637.0,,2637.0
307,2637.0,,2637.0
308,,2637.0,2637.0
309,2637.0,,2637.0
310,,2637.0,2637.0
311,2637.0,,2637.0
312,2637.0,,2637.0
313,,2637.0,2637.0
314,,2642.0,2642.0
315,2642.0,,2642.0
316,,2656.0,2656.0
317,2656.0,,2656.0
318,,2656.0,2656.0
319,2656.0,,2656.0
320,,2656.0,2656.0
321,2656.0,,2656.0
322,,2656.0,2656.0
323,2656.0,,2656.0
324,,2656.0,2656.0
325,2678.0,,2678.0
326,,2678.0,2678.0
327,2678.0,,2678.0
328,,2678.0,2678.0
329,2678.0,,2678.0
330,,2678.0,2678.0
331,2678.0,,2678.0
332,2678.0,,2678.0
333,,2678.0,2678.0
334,,2678.0,2678.0
335,2678.0,,2678.0
336,,2678.0,2678.0
337,2678.0,,2678.0
338,,2678.0,2678.0
339,2678.0,,2678.0
340,,2678.0,2678.0
341,2678.0,,2678.0
342,,2678.0,2678.0
343,,2642.0,2642.0
344,2642.0,,2642.0
345,,2642.0,2642.0
346,,2642.0,2642.0
347,2642.0,,2642.0
348,2687.0,,2687.0
349,,2687.0,2687.0
350,2687.0,,2687.0
351,,2687.0,2687.0
352,2687.0,,2687.0
353,2688.0,,2688.0
354,2688.0,,2688.0
355,,2688.0,2688.0
356,2688.0,,2688.0
357,,2688.0,2688.0
358,2688.0,,2688.0
359,,2688.0,2688.0
360,2688.0,,2688.0
361,,2688.0,2688.0
