,Mean_CP
0,15.452380952380953
1,26.875
2,34.87323943661972
3,19.129032258064516
4,74.92592592592592
5,42.0
6,31.40909090909091
7,10.714285714285714
8,24.333333333333332
9,24.576923076923077
10,9.142857142857142
11,19.8
12,15.0
13,22.040816326530614
14,20.678571428571427
15,16.6
16,17.25
17,12.6
18,9.777777777777779
19,18.022727272727273
20,28.551020408163264
21,28.95
22,24.525
23,41.416666666666664
24,23.65
25,49.94736842105263
26,37.90526315789474
27,28.8135593220339
28,70.92
29,35.5
30,20.708333333333332
31,31.522727272727273
32,38.559322033898304
33,43.73684210526316
34,19.183333333333334
35,37.833333333333336
36,19.37142857142857
37,16.482142857142858
38,37.46666666666667
39,17.2
40,26.51851851851852
41,40.01960784313726
42,21.989247311827956
43,19.38095238095238
44,31.095238095238095
45,26.541666666666668
46,31.75
47,21.651162790697676
48,28.392156862745097
49,13.0
50,30.135135135135137
51,28.77358490566038
52,8.2
53,34.23076923076923
54,29.458333333333332
55,33.64
56,41.90909090909091
57,26.923076923076923
58,30.291666666666668
59,25.612903225806452
60,23.535211267605632
61,14.483870967741936
62,47.12068965517241
63,22.431372549019606
64,17.333333333333332
65,23.5875
66,16.93103448275862
67,32.27272727272727
68,13.454545454545455
69,14.903225806451612
70,10.734375
71,44.888888888888886
72,48.5
73,32.869565217391305
74,26.166666666666668
75,69.27272727272727
76,6.071428571428571
77,11.971428571428572
78,31.153846153846153
79,23.294117647058822
80,27.548387096774192
81,16.428571428571427
82,15.8125
83,16.545454545454547
84,13.36111111111111
85,31.972972972972972
86,23.324324324324323
87,4.616279069767442
88,17.92
89,46.885245901639344
90,35.588235294117645
91,47.166666666666664
92,39.25806451612903
93,21.973684210526315
94,35.8
95,19.13157894736842
96,40.58064516129032
97,19.967741935483872
98,30.31111111111111
99,26.05
100,17.0
101,18.564102564102566
102,14.464285714285714
103,17.0
104,46.53333333333333
105,69.08823529411765
106,27.61111111111111
107,19.620689655172413
108,18.735294117647058
109,61.94871794871795
110,37.94230769230769
111,12.37037037037037
112,15.333333333333334
113,24.553846153846155
114,56.52777777777778
115,33.810344827586206
116,23.137931034482758
117,28.28358208955224
118,18.17241379310345
119,8.363636363636363
120,11.967213114754099
121,11.46
122,12.074074074074074
123,23.87719298245614
124,57.6
125,20.956521739130434
126,23.833333333333332
127,96.87179487179488
128,25.658823529411766
129,22.757575757575758
130,28.025641025641026
131,23.057142857142857
132,16.8
133,32.26984126984127
134,25.1
135,41.12
136,19.735849056603772
137,30.526315789473685
138,37.15873015873016
139,21.6046511627907
140,38.54
141,29.120689655172413
142,23.58974358974359
143,39.0945945945946
144,15.564102564102564
145,25.971014492753625
146,18.89090909090909
147,14.5
148,9.0
149,29.050847457627118
150,21.06896551724138
151,38.395833333333336
152,16.727272727272727
153,21.525
154,54.03030303030303
155,14.0
156,8.097222222222221
157,29.5625
158,16.9375
159,22.238095238095237
160,48.03448275862069
161,27.676470588235293
162,49.3448275862069
163,20.933333333333334
164,20.2972972972973
165,25.575757575757574
166,29.939393939393938
167,17.0
168,14.279069767441861
169,7.642857142857143
170,21.96
171,17.125
172,15.2
173,21.26984126984127
174,31.381818181818183
175,22.75
176,16.280701754385966
177,11.892307692307693
178,29.851063829787233
179,9.476190476190476
180,37.08
181,18.24137931034483
182,23.0
183,13.096774193548388
184,8.882352941176471
185,17.098039215686274
186,28.849056603773583
187,15.457142857142857
188,19.659574468085108
189,21.70212765957447
190,33.32258064516129
191,13.533333333333333
192,18.51219512195122
193,42.714285714285715
194,18.103448275862068
195,21.945945945945947
196,20.642857142857142
197,26.32608695652174
198,14.472972972972974
199,27.54
200,11.027027027027026
201,9.2
202,24.0
203,19.842105263157894
204,29.93103448275862
205,48.56818181818182
206,16.4
207,43.46666666666667
208,32.61333333333334
209,19.704545454545453
210,14.428571428571429
211,20.67391304347826
212,21.939393939393938
213,46.388888888888886
214,45.26470588235294
215,13.37037037037037
216,16.423728813559322
217,21.142857142857142
218,11.538461538461538
219,16.25
220,44.766666666666666
221,20.333333333333332
222,20.931818181818183
223,29.803030303030305
224,11.028571428571428
225,18.776119402985074
226,22.369565217391305
227,30.19148936170213
228,36.27272727272727
229,49.17142857142857
230,31.20689655172414
231,14.23076923076923
232,37.19047619047619
233,16.741935483870968
234,8.327272727272728
235,23.545454545454547
236,23.857142857142858
237,13.44186046511628
238,27.61764705882353
239,52.422222222222224
240,8.75
241,26.24390243902439
242,36.06666666666667
243,24.636363636363637
244,12.51063829787234
245,14.456140350877194
246,21.256410256410255
247,5.96
248,30.533333333333335
249,36.208333333333336
250,24.72972972972973
251,35.51282051282051
252,35.3125
253,53.41379310344828
254,23.444444444444443
255,16.625
256,46.175438596491226
257,17.037037037037038
258,15.193548387096774
259,18.962025316455698
260,13.758620689655173
261,19.208333333333332
262,23.083333333333332
263,24.043478260869566
264,29.527027027027028
265,19.73469387755102
266,51.270270270270274
267,14.97872340425532
268,59.07142857142857
269,34.559322033898304
270,13.026315789473685
271,18.875
272,54.333333333333336
273,20.916666666666668
274,32.91428571428571
275,20.267605633802816
276,20.958333333333332
277,53.13636363636363
278,33.564516129032256
279,21.2
280,23.403508771929825
281,7.9361702127659575
282,19.21917808219178
283,24.682926829268293
284,13.681818181818182
285,13.818181818181818
286,39.391891891891895
287,36.8
288,18.97872340425532
289,49.270270270270274
290,10.89655172413793
291,24.089285714285715
292,12.055555555555555
293,46.23076923076923
294,22.571428571428573
295,17.152542372881356
296,14.6
297,46.21212121212121
298,15.176470588235293
299,61.48
300,18.0
301,20.808988764044944
302,20.339622641509433
303,20.296296296296298
304,13.407407407407407
305,29.57894736842105
306,16.166666666666668
307,22.775
308,24.16417910447761
309,17.209302325581394
310,18.53448275862069
311,6.162162162162162
312,5.983333333333333
313,9.538461538461538
314,25.047619047619047
315,39.645161290322584
316,18.625
317,7.222222222222222
318,24.910714285714285
319,47.22222222222222
320,22.633333333333333
321,19.032258064516128
322,34.54
323,37.51851851851852
324,17.395833333333332
325,52.04
326,28.46808510638298
327,12.423728813559322
328,28.285714285714285
329,8.766666666666667
330,19.242424242424242
331,47.015151515151516
332,13.448717948717949
333,14.035714285714286
334,5.384615384615385
335,30.261904761904763
336,30.645833333333332
337,29.537037037037038
338,6.835820895522388
339,46.67741935483871
340,19.271186440677965
341,34.75
342,12.081967213114755
343,20.55263157894737
344,19.137931034482758
345,11.558823529411764
346,16.333333333333332
347,36.03703703703704
348,23.818181818181817
349,23.7319587628866
350,13.773584905660377
351,27.733333333333334
352,14.285714285714286
353,27.395833333333332
354,19.785714285714285
355,17.69047619047619
356,21.48936170212766
357,32.3448275862069
358,4.203703703703703
359,33.10294117647059
360,17.87037037037037
