,0
0,19.22222222222222
1,28.0
2,26.62962962962963
3,18.026315789473685
4,51.0
5,26.27027027027027
6,45.12820512820513
7,12.296875
8,9.555555555555555
9,17.388235294117646
10,18.529411764705884
11,24.555555555555557
12,31.608695652173914
13,10.307692307692308
14,22.0
15,27.08108108108108
16,54.166666666666664
17,
18,26.372093023255815
19,10.607142857142858
20,19.53030303030303
21,12.523809523809524
22,15.090909090909092
23,28.378048780487806
24,24.884615384615383
25,17.714285714285715
26,24.169014084507044
27,45.326530612244895
28,67.38666666666667
29,18.06451612903226
30,23.128205128205128
31,65.31818181818181
32,21.047619047619047
33,11.117647058823529
34,21.796875
35,6.578431372549019
36,20.885245901639344
37,7.302631578947368
38,7.958333333333333
39,33.869565217391305
40,40.354166666666664
41,26.92
42,18.511111111111113
43,26.25
44,15.363636363636363
45,13.277777777777779
46,18.48148148148148
47,20.91025641025641
48,24.5
49,10.258064516129032
50,9.64
51,11.717948717948717
52,42.607142857142854
53,25.384615384615383
54,24.387096774193548
55,8.228571428571428
56,11.32258064516129
57,23.434782608695652
58,30.0
59,12.245901639344263
60,10.10344827586207
61,21.085106382978722
62,61.97142857142857
63,13.404255319148936
64,24.763636363636362
65,34.39473684210526
66,26.17391304347826
67,20.37142857142857
68,32.95918367346939
69,39.125
70,26.382978723404257
71,14.833333333333334
72,12.8
73,51.56410256410256
74,12.0
75,27.923076923076923
76,29.169014084507044
77,30.666666666666668
78,20.040816326530614
79,13.212121212121213
80,23.365853658536587
81,39.91836734693877
82,45.31578947368421
83,66.08571428571429
84,33.175
85,17.035714285714285
86,24.956521739130434
87,15.285714285714286
88,19.895833333333332
89,19.236842105263158
90,31.163265306122447
91,21.40625
92,21.5
93,20.08823529411765
94,25.105263157894736
95,36.36206896551724
96,16.81081081081081
97,16.125
98,21.40909090909091
99,12.69047619047619
100,17.03125
101,18.069767441860463
102,29.34090909090909
103,25.133333333333333
104,9.166666666666666
105,33.65217391304348
106,28.703703703703702
107,13.375
108,21.132075471698112
109,54.888888888888886
110,20.142857142857142
111,19.4375
112,21.847826086956523
113,17.641025641025642
114,12.095238095238095
115,15.971428571428572
116,30.818181818181817
117,18.916666666666668
118,29.857142857142858
119,33.825
120,15.142857142857142
121,35.794117647058826
122,16.10810810810811
123,13.3
124,21.466666666666665
125,15.415094339622641
126,21.555555555555557
127,11.529411764705882
128,11.083333333333334
129,26.242424242424242
130,31.52857142857143
131,11.936170212765957
132,12.85
133,42.5
134,19.55263157894737
135,21.928571428571427
136,29.804878048780488
137,27.4875
138,22.742857142857144
139,26.5
140,35.40425531914894
141,10.307692307692308
142,33.853658536585364
143,18.697674418604652
144,25.94736842105263
145,29.520833333333332
146,11.194444444444445
147,16.904761904761905
148,25.27906976744186
149,14.083333333333334
150,11.638297872340425
151,10.275862068965518
152,32.2
153,34.7
154,36.94827586206897
155,19.359375
156,43.19444444444444
157,26.54736842105263
158,19.13888888888889
159,9.787878787878787
160,21.0
161,17.46808510638298
162,20.244444444444444
163,20.675
164,12.28888888888889
165,16.557377049180328
166,37.14705882352941
167,15.166666666666666
168,37.5
169,22.125
170,13.344827586206897
171,8.333333333333334
172,23.175
173,29.52777777777778
174,13.454545454545455
175,15.666666666666666
176,48.02564102564103
177,17.032258064516128
178,28.647058823529413
179,15.148148148148149
180,53.27906976744186
181,35.72549019607843
182,10.076923076923077
183,39.03174603174603
184,10.291666666666666
185,11.23076923076923
186,21.627906976744185
187,18.724137931034484
188,14.023255813953488
189,14.482758620689655
190,22.783333333333335
191,30.857142857142858
192,16.823529411764707
193,22.288888888888888
194,15.136363636363637
195,13.875
196,41.345454545454544
197,19.822222222222223
198,58.810810810810814
199,16.576923076923077
200,19.725
201,47.515151515151516
202,13.0
203,9.73076923076923
204,27.325
205,29.444444444444443
206,17.36842105263158
207,20.6
208,25.102040816326532
209,35.4375
210,34.80769230769231
211,17.066666666666666
212,25.391304347826086
213,17.0
214,34.81818181818182
215,15.591549295774648
216,13.976190476190476
217,13.363636363636363
218,20.903846153846153
219,32.25714285714286
220,17.41025641025641
221,14.521739130434783
222,11.275862068965518
223,21.0
224,42.857142857142854
225,14.732142857142858
226,20.895522388059703
227,21.425531914893618
228,16.333333333333332
229,25.936507936507937
230,49.29032258064516
231,16.95
232,20.657894736842106
233,11.46031746031746
234,31.228571428571428
235,16.029411764705884
236,22.88679245283019
237,25.170731707317074
238,30.105263157894736
239,26.24137931034483
240,21.25
241,27.735849056603772
242,16.568627450980394
243,6.123287671232877
244,18.41176470588235
245,19.68421052631579
246,42.292682926829265
247,15.48936170212766
248,7.555555555555555
249,22.6734693877551
250,42.348837209302324
251,11.955223880597014
252,11.025641025641026
253,28.25
254,26.658536585365855
255,23.94736842105263
256,24.27027027027027
257,17.90909090909091
258,24.931818181818183
259,20.725
260,21.733333333333334
261,15.333333333333334
262,8.727272727272727
263,40.12676056338028
264,4.135135135135135
265,24.26
266,12.689655172413794
267,42.125
268,46.680851063829785
269,38.392857142857146
270,34.25
271,23.452380952380953
272,21.25
273,16.910714285714285
274,14.137931034482758
275,24.53846153846154
276,11.862068965517242
277,27.17241379310345
278,19.232142857142858
279,32.921052631578945
280,9.733333333333333
281,16.578125
